Bokmål,Nynorsk,Engelsk,Merknad
forventningsrett,forventingsrett,unbiased,"Ordklasse: adjektiv"
forventningsskjev,forventingsskeiv,biased,
forventningsskjevhet,forventingsskeivskap,bias,
forventningsverdi,forventingsverdi,expected value/mean,
fourierkoeffisient,fourierkoeffisient,Fourier coefficient,
fourierrekke,fourierrekkje,Fourier series,
fouriertransformasjon,fouriertransformasjon,Fourier transform,
fraktal,fraktal,fractal,
fraktil,fraktil,fractile,
frekvens,frekvens,frequency,
fri modul,fri modul,free module,
fri oppløsning,fri oppløysing,free resolution,
frihetsgrad,fridomsgrad,degree of freedom,
fritt produkt,fritt produkt,free product,
full funktor,full funktor,full functor,
full underkategori,full underkategori,full subcategory,
fullstendig regulært rom,fullstendig regulært rom,completely regular space,
fundamentalgruppe,fundamentalgruppe,fundamental group,
fundamentalperiode,fundamentalperiode,fundamental period,
funksjon,funksjon,function,
funksjonal,funksjonal,functional,
funksjonalanalyse,funksjonalanalyse,functional analysis,
funksjonsrom,funksjonsrom,function space,
funktor,funktor,functor,
funktoriell egenskap,funktoriell eigenskap,functorial property,
funktoriell,funktoriell,functorial,
følge,følgje,sequence,
galoisteori,galoisteori,Galois theory,
gammafordeling,gammafordeling,gamma distribution,
gausseliminasjon,gausseliminasjon,Gaussian elimination,
gaussfordeling/normalfordeling,gaussfordeling/normalfordeling,Gaussian distribution/normal distribution,
gaussisk heltall,gaussisk heiltal,Gaussian integer,
gaussisk,gaussisk,Gaussian,
generalisert sannsynlighetsforhold,generalisert sannsynsforhold,generalized likelihood ratio,
generator,generator,generator,
generert,generert,generated,
genus,genus,genus,
geometri,geometri,geometry,
geometrisk fordeling,geometrisk fordeling,geometric distribution,
geometrisk multiplisitet,geometrisk multiplisitet,geometric multiplicity,
geometrisk sted,geometrisk stad,locus,
geometrisk,geometrisk,geometric,
gjennomsnittsavvik,gjennomsnittsavvik,mean deviation,
gjensidig utelukkende,gjensidig utelukkande,mutually exclusive,"Gjensidig utelukkende hendelser kan også omtales som disjunkte."
glatt,glatt,smooth,
glidespeiling,glidespegling,glide reflection,
global egenskap,global eigenskap,global property,
globaldimensjon,globaldimensjon,global dimension,
godtakingsområde,godtakingsområde,acceptance region,
gorensteinring,gorensteinring,Gorenstein ring,
grad,grad,degree,
gradert modul,gradert modul,graded module,
gradert ring,gradert ring,graded ring,
gradert,gradert,graded,
gradient,gradient,gradient,
gradskivepostulatet/vinkelmålspostulatet,gradskivepostulatet/vinkelmålspostulatet,protractor postulate,
graf,graf,graph,
grense,grense,limit,
grensepunkt,grensepunkt,limit point,
grensepunktkompakt,grensepunktkompakt,limit point compact,
grenseverdi,grenseverdi,limit,
grothendieckgruppe,grothendieckgruppe,Grothendieck group,
grovere topologi,grovare topologi,coarser topology,
gruppe,gruppe,group,
gruppealgebra,gruppealgebra,group algebra,
gruppehomomorfi,gruppehomomorfi,group homomorphism,
gruppering,gruppering,group ring,
gruppeskjema,gruppeskjema,group scheme,
gruppestruktur,gruppestruktur,group structure,
gruppevirkning,gruppeverknad,group action,
gruppoide,gruppoide,groupoid,
harmonisk funksjon,harmonisk funksjon,harmonic function,
harmonisk,harmonisk,harmonic,
hausdorffrom,hausdorffrom,Hausdorff space,
heksaeder,heksaeder,hexahedron,
hel funksjon,heil funksjon,entire function,
hel,heil,entire,
helavslutning/heltallstillukning,heilavslutning/heiltalstillukking,integral closure,
helavsluttet/heltallslukket,heilavslutta/heiltalslukka,integrally closed,
heliks,heliks,helix,
helt element,heilt element,integral element,
heltall,heiltal,integer,
heltallsavhengighet,heiltalsavhengnad,integral dependence,
heltallsområde/integritetsområde,heiltalsområde/integritetsområde,integral domain,"Begge oversettelsene brukes på norsk, men heltallsområde (bokmål) og heiltalsområde (nynorsk) anbefales."
heltallsring,heiltalsring,ring of integers,
heltallsutvidelse,heiltalsutviding,integral extension,
hermitisk matrise,hermitisk matrise,Hermitian matrix,
hessedeterminant,hessedeterminant,Hessian determinant,"Hessedeterminant kalles ofte bare <i>Hessian</i> på engelsk."
hessematrise,hessematrise,Hessian matrix,"Hessematrise kalles ofte bare <i>Hessian</i> på engelsk."
hesteskolemmaet,hesteskolemmaet,horseshoe lemma,
heterogen,heterogen,heterogeneous,
heteroskedastisk,heteroskedastisk,heteroscedastic,
hilbertfunksjon,hilbertfunksjon,Hilbert function,
hilbertrom,hilbertrom,Hilbert space,
Hilberts basisteorem,Hilberts basisteorem,Hilbert's basis theorem,
Hilberts nullpunktssats,Hilberts nullpunktssats,Hilbert's Nullstellensatz,
histogram,histogram,histogram,
hjørne,hjørne,vertex,
holomorf funksjon,holomorf funksjon,holomorphic function,
homeomorf,homeomorf,homeomorphic,
homeomorfi,homeomorfi,homeomorphism,
homogen,homogen,homogeneous,
homogent likningssystem,homogent likningssystem,homogeneous system of equations,
homolog,homolog,homologous,
homologi,homologi,homology,
homologigruppe,homologigruppe,homology group,
homomorf,homomorf,homomorphic,
homomorfi,homomorfi,homomorphism,
homomorft bilde,homomorft bilete,homomorphic image,
homoskedastisk,homoskedastisk,homoscedastic,
homotop,homotop,homotopic,
homotopi,homotopi,homotopy,
homotopiekvivalens,homotopiekvivalens,homotopy equivalence,
homotopigruppe,homotopigruppe,homotopy group,
homotopiinvers,homotopiinvers,homotopy inverse,
homotopikategori,homotopikategori,homotopy category,
homotopiklasse,homotopiklasse,homotopy class,
homotopisk,homotopisk,homotopical,
homotopitype,homotopitype,homotopy type,
hoveddiagonal,hovuddiagonal,main diagonal,
hovedideal,hovudideal,principal ideal,
hovedidealgruppe,hovudidealgruppe,group of principal fractional ideals,
hovedidealområde,hovudidealområde,principal ideal domain,"Hovedidealområde forkortes ofte til PID."
hyperbel,hyperbel,hyperbola,
hyperboloide,hyperboloide,hyperboloid,
hyperbolsk,hyperbolsk,hyperbolic,
hyperflate,hyperflate,hypersurface,
hypergeometrisk fordeling,hypergeometrisk fordeling,hypergeometric distribution,
hypergeometrisk sannsynlighetsfordeling,hypergeometrisk sannsynsfordeling,hypergeometric probability distribution,
hyperplan,hyperplan,hyperplane,
hypotenus,hypotenus,hypotenuse,
hypotese,hypotese,hypothesis,
hypotesetest,hypotesetest,test of hypothesis,
hypotesetesting,hypotesetesting,hypothesis testing,
hyppighet/relativ frekvens,hyppigheit/relativ frekvens,relative frequency,
høyreadjungert funktor,høgreadjungert funktor,right adjoint functor,
høyreadjungert,høgreadjungert,right adjoint,
høyreartinsk,høgreartinsk,right Artinian,
høyreeksakt,høgreeksakt,right exact,
høyreideal,høgreideal,right ideal,
høyreinverterbar,høgreinverterbar,right invertible,
høyrekoherent,høgrekoherent,right coherent,
høyremodul,høgremodul,right module,
høyrenoethersk,høgrenoethersk,right Noetherian,
ideal,ideal,ideal,
idealgruppe,idealgruppe,group of fractional ideals,
idealklassegruppe,idealklassegruppe,ideal class group,
idempotent,idempotent,idempotent,
identifisere,identifisere,identify,
identitet,identitet,identity,
identitetselement,identitetselement,identity element,
identitetsmatrise,identitetsmatrise,identity matrix,
ikke-dekomponerbar,ikkje-dekomponerbar,indecomposable,
ikke-euklidsk,ikkje-euklidsk,non-Euclidean,
ikke-isomorf,ikkje-isomorf,non-isomorphic,
ikke-lineær,ikkje-lineær,nonlinear,
ikke-negativ,ikkje-negativ,non-negative,
ikke-normal,ikkje-normal,nonnormal,
ikke-null,ikkje-null,non-zero,
ikke-nullelement,ikkje-nullelement,non-zero element,
ikke-parametrisk statistikk,ikkje-parametrisk statistikk,nonparametric statistics,
ikke-sammenliknbar/inkommensurabel,ikkje-samanliknbar/inkommensurabel,incommensurable,
ikke-tom,ikkje-tom,non-empty,
ikke-triviell,ikkje-triviell,non-trivial,
ikke-økende,ikkje-aukande,nonincreasing,
ikosaeder,ikosaeder,icosahedron,
imaginær enhet,imaginær eining,imaginary unit,
imaginær,imaginær,imaginary,
imaginært tall,imaginært tal,imaginary number,
imbedding,imbedding,embedding,
immersjon,immersjon,immersion,
implikasjon,implikasjon,implication,
indre,indre,interior,
indreprodukt,indreprodukt,inner product,
induksjon,induksjon,induction,
induktiv,induktiv,inductive,
indusert,indusert,induced,
inferens,inferens,inference,
infimum,infimum,infimum,
infinitesimal,infinitesimal,infinitesimal,
initialbetingelse/startbetingelse,initialvilkår/startvilkår,initial condition,
initialverdi/startverdi,initialverdi/startverdi,initial value,
initialverdiproblem/startverdiproblem,initialverdiproblem/startverdiproblem,initial value problem,
injeksjon,injeksjon,injection,
injektiv dimensjon,injektiv dimensjon,injective dimension,
injektiv modul,injektiv modul,injective module,
injektiv oppløsning,injektiv oppløysing,injective resolution,
injektiv,injektiv,injective,"Synonym: én-til-én"
injektivt objekt,injektivt objekt,injective object,
inklusjon,inklusjon,inclusion,
inklusjonsavbildning,inklusjonsavbilding,inclusion map,
inkonsistent likningssystem,inkonsistent likningssystem,inconsistent system of equations,
innbyrdes primisk/relativt primisk,innbyrdes primisk/relativt primisk,relatively prime,
innsenter,innsenter,incentre,
innsirkel,innsirkel,incircle,
innskrevet sirkel,innskriven sirkel,inscribed circle,
integralkurve,integralkurve,integral curve,
integrallikning,integrallikning,integral equation,
integraltransformasjon,integraltransformasjon,integral transform,
integrasjon,integrasjon,integration,
integrerbar,integrerbar,integrable,
integrere,integrere,integrate,
interferens,interferens,interference,
intervall,intervall,interval,
invarians,invarians,invariance,
invariant,invariant,invariant,
invers grense,invers grense,inverse limit,
invers,invers,inverse,
inversbilde,inversbilete,inverse image,
inversfunksjon,inversfunksjon,inverse function,
inverst system,inverst system,inverse system,
inverstransformasjon,inverstransformasjon,inverse transform,
inverterbar,inverterbar,invertible,
inverterbart ideal,inverterbart ideal,invertible ideal,
irrasjonalt tall,irrasjonalt tal,irrational number,
irredusibel,irredusibel,irreducible,
irredusibelt element,irredusibelt element,irreducible element,
irredusibelt ideal,irredusibelt ideal,irreducible ideal,
irredusibelt polynom,irredusibelt polynom,irreducible polynomial,
irreversibel prosess,irreversibel prosess,irreversible process,
isolert assosiert primideal,isolert assosiert primideal,isolated associated prime,
isometri,isometri,isometry,
isomorf,isomorf,isomorphic,
isomorfi,isomorfi,isomorphism,
isomorfiklasse,isomorfiklasse,isomorphism class,
iterasjon,iterasjon,iteration,
jacobideterminant,jacobideterminant,Jacobian determinant,"Jacobideterminant kalles ofte bare <i>Jacobian</i> på engelsk."
jacobimatrise,jacobimatrise,Jacobian matrix,"Jacobimatrise kalles ofte bare <i>Jacobian</i> på engelsk."
jacobsonradikal,jacobsonradikal,Jacobson radical,
Jordan-Hölder-teoremet,Jordan-Hölder-teoremet,Jordan-Hölder theorem,
jordanblokk,jordanblokk,Jordan block,
jordankjede,jordankjede,Jordan chain,
kalkulus,kalkulus,calculus,
kanonisk,kanonisk,canonical,
kant,kant,edge,
kaosteori,kaosteori,chaos theory,
karakteristisk likning,karakteristisk likning,characteristic equation,
karakteristisk polynom,karakteristisk polynom,characteristic polynomial,
kardinalitet,kardinalitet,cardinality,
kart,kart,chart,
kartesisk koordinatsystem,kartesisk koordinatsystem,Cartesian coordinate system,
kartesiske koordinater,kartesiske koordinatar,Cartesian coordinates,
katastrofeteori,katastrofeteori,catastrophe theory,
kategori,kategori,category,
khikvadrat,khikvadrat,chi-squared,
khikvadratfordeling,khikvadratfordeling,chi-squared distribution,
kime,kime,germ,
